Year,State_Abbr,State,GeoLocation
2016,AL,Alabama,"(32.84057112200048, -86.63186076199969)"
2016,AK,Alaska,"(64.84507995700051, -147.72205903599973)"
2016,AZ,Arizona,"(34.865970280000454, -111.76381127699972)"
2016,AR,Arkansas,"(34.74865012400045, -92.27449074299966)"
2016,CA,California,"(37.63864012300047, -120.99999953799971)"
2016,CO,Colorado,"(38.843840757000464, -106.13361092099967)"
2016,CT,Connecticut,"(41.56266102000046, -72.64984095199964)"
2016,DE,Delaware,"(39.008830667000495, -75.57774116799965)"
2016,DC,District of Columbia,"(38.907192, -77.036871)"
2016,FL,Florida,"(28.932040377000476, -81.92896053899966)"
2016,GA,Georgia,"(32.83968109300048, -83.62758034599966)"
2016,HI,Hawaii,"(21.304850435000446, -157.85774940299973)"
2016,ID,Idaho,"(43.682630005000476, -114.3637300419997)"
2016,IL,Illinois,"(40.48501028300046, -88.99771017799969)"
2016,IN,Indiana,"(39.766910452000445, -86.14996019399968)"
2016,IA,Iowa,"(42.46940091300047, -93.81649055599968)"
2016,KS,Kansas,"(38.34774030000045, -98.20078122699965)"
2016,KY,Kentucky,"(37.645970271000465, -84.77497104799966)"
2016,LA,Louisiana,"(31.31266064400046, -92.44568007099969)"
2016,ME,Maine,"(45.254228894000505, -68.98503133599962)"
2016,MD,Maryland,"(39.29058096400047, -76.60926011099963)"
2016,MA,Massachusetts,"(42.27687047000046, -72.08269067499964)"
2016,MI,Michigan,"(44.6613195430005, -84.71439026999968)"
2016,MN,Minnesota,"(46.35564873600049, -94.79420050299967)"
2016,MS,Mississippi,"(32.745510099000455, -89.53803082499968)"
2016,MO,Missouri,"(38.635790776000476, -92.56630005299968)"
2016,MT,Montana,"(47.06652897200047, -109.42442064499971)"
2016,NE,Nebraska,"(41.6410409880005, -99.36572062299967)"
2016,NV,Nevada,"(39.493240390000494, -117.07184056399967)"
2016,NH,New Hampshire,"(43.65595011300047, -71.50036091999965)"
2016,NJ,New Jersey,"(40.13057004800049, -74.27369128799967)"
2016,NM,New Mexico,"(34.52088095200048, -106.24058098499967)"
2016,NY,New York,"(42.82700103200045, -75.54397042699964)"
2016,NC,North Carolina,"(35.466220975000454, -79.15925046299964)"
2016,ND,North Dakota,"(47.47531977900047, -100.11842104899966)"
2016,OH,Ohio,"(40.06021014100048, -82.40426005599966)"
2016,OK,Oklahoma,"(35.47203135600046, -97.52107021399968)"
2016,OR,Oregon,"(44.56744942400047, -120.15503132599969)"
2016,PA,Pennsylvania,"(40.79373015200048, -77.86070029399963)"
2016,RI,Rhode Island,"(41.70828019300046, -71.52247031399963)"
2016,SC,South Carolina,"(33.998821303000454, -81.04537120699968)"
2016,SD,South Dakota,"(44.353130053000484, -100.3735306369997)"
2016,TN,Tennessee,"(35.68094058000048, -85.77449091399967)"
2016,TX,Texas,"(31.827240407000488, -99.42677020599967)"
2016,UT,Utah,"(39.360700171000474, -111.58713063499971)"
2016,VT,Vermont,"(43.62538123900049, -72.51764079099962)"
2016,VA,Virginia,"(37.54268067400045, -78.45789046299967)"
2016,WA,Washington,"(47.52227862900048, -120.47001078999972)"
2016,WV,West Virginia,"(38.66551020200046, -80.71264013499967)"
2016,WI,Wisconsin,"(44.39319117400049, -89.81637074199966)"
2016,WY,Wyoming,"(43.23554134300048, -108.10983035299967)"
2016,GU,Guam,"(13.444304, 144.793731)"
2016,PR,Puerto Rico,"(18.220833, -66.590149)"
2016,VI,Virgin Islands,"(18.335765, -64.896335)"
